sha256,path,type
ebd5645c843d4b5bf2b409123294eb62d0b659161e6e10a10acdc4aa18537dc3,./2.14.0/apache-log4j-2.14.0-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.3/apache-log4j-2.13.3-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
2aef3129ca881726793b206c727981eb5a9e64ab2258a351b04238f3220470be,./2.13.2/apache-log4j-2.13.2-bin/org/apache/logging/log4j/core/appender/mom/JmsAppender.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.11.0/apache-log4j-2.11.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
6fb4422626293c894821100d7b98ab2f8b5e7701e515fec83a59f12f0cd15bcc,./2.0.2/apache-log4j-2.0.2-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.8/apache-log4j-2.8-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.8.1/apache-log4j-2.8.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.9.0/apache-log4j-2.9.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.4.1/apache-log4j-2.4.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
4b140706f194da9cf1a5c6de4db0210b7b95c2d2f8024cfe53009b68c47a1c4b,./2.8.2/apache-log4j-2.8.2-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.6.1/apache-log4j-2.6.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.11.2/apache-log4j-2.11.2-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
f96e82093706592b7c9009c1472f588fc2222835ea808ee2fa3e47185a4eba70,./2.13.0/apache-log4j-2.13.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9c887fdd72a99a13f1d80b9a8bf1d3ec68509aa1c0c416275fbcf39e2e0ed41e,./2.0-beta6/apache-log4j-2.0-beta6-bin/org/apache/logging/log4j/core/helpers/NetUtils.class,log4j2-class
6fb4422626293c894821100d7b98ab2f8b5e7701e515fec83a59f12f0cd15bcc,./2.1/apache-log4j-2.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
a0dc96c7695c927682d8d0497624548bad8d8e67d0b1dea5a2f8c142d500683c,./2.15.0/apache-log4j-2.15.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.5/apache-log4j-2.5-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
6fb4422626293c894821100d7b98ab2f8b5e7701e515fec83a59f12f0cd15bcc,./2.2/apache-log4j-2.2-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9c887fdd72a99a13f1d80b9a8bf1d3ec68509aa1c0c416275fbcf39e2e0ed41e,./2.0-beta7/apache-log4j-2.0-beta7-bin/org/apache/logging/log4j/core/helpers/NetUtils.class,log4j2-class
9c887fdd72a99a13f1d80b9a8bf1d3ec68509aa1c0c416275fbcf39e2e0ed41e,./2.0-beta7/apache-log4j-2.0-beta7-osgi-bin/org/apache/logging/log4j/core/helpers/NetUtils.class,log4j2-class
b49948c5b8cf3b18c996036f3cc842a59ea1720c9534dfac616626170d6b3e4e,./2.0-rc1/apache-log4j-2.0-rc1-osgi-bin/org/apache/logging/log4j/core/helpers/NetUtils.class,log4j2-class
b49948c5b8cf3b18c996036f3cc842a59ea1720c9534dfac616626170d6b3e4e,./2.0-rc1/apache-log4j-2.0-rc1-bin/org/apache/logging/log4j/core/helpers/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.7/apache-log4j-2.7-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
6fb4422626293c894821100d7b98ab2f8b5e7701e515fec83a59f12f0cd15bcc,./2.3/apache-log4j-2.3-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
f96e82093706592b7c9009c1472f588fc2222835ea808ee2fa3e47185a4eba70,./2.13.1/apache-log4j-2.13.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.11.1/apache-log4j-2.11.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
4d545f1590da3062c5a570f3b56ba87f576c698e3c0a623eedaa9452ec322387,./2.12.0/apache-log4j-2.12.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.10.0/apache-log4j-2.10.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.6.2/apache-log4j-2.6.2-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9082a3b7ea26325fffb93ecaf81f8b35335f218a6ae076b05b531768eeed5396,./2.6/apache-log4j-2.6-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
6fb4422626293c894821100d7b98ab2f8b5e7701e515fec83a59f12f0cd15bcc,./2.0/apache-log4j-2.0-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
9c887fdd72a99a13f1d80b9a8bf1d3ec68509aa1c0c416275fbcf39e2e0ed41e,./2.0-beta5/apache-log4j-2.0-beta5-bin/org/apache/logging/log4j/core/helpers/NetUtils.class,log4j2-class
7c34611f6d076855b19fc8495fc1c31acb36fb514d563c681bc1051ec64ea5f5,./2.12.1/apache-log4j-2.12.1-bin/org/apache/logging/log4j/core/util/NetUtils.class,log4j2-class
